Measure|Limit|MeasureGroup
1,1,1-Trichloroethane|.2 mg/L|1,1,1-Trichloroethane 
1,1,2-Trichloroethane|.005 mg/L|1,1,2-Trichloroethane 
1,1-Dichloroethylene|.007 mg/L|1,1-Dichloroethylene 
1,2,4-Trichlorobenzene|.07 mg/L|1,2,4-Trichlorobenzene 
1,2-Dibromo-3-chloropropane|.0002 mg/L|1,2-Dibromo-3-chloropropane 
1,2-Dichloroethane|.005 mg/L|1,2-Dichloroethane 
1,2-Dichloropropane|.005 mg/L|1,2-Dichloropropane 
2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,4',5,5'-Octachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,4',5,6'-Octachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,4',5,6-Octachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,4',5-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,4'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,5',6'-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,5',6,6'-Octachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,5,5',6-Octachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,5,5'-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,5,6'-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,5,6,6'-Octachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,6'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,6,6'-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4,6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',4-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',5,5',6-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',5,5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',6,6'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,3',6-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4',5',6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4',5'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4',5,5',6-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4',5,5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4',5,6,6'-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,4',5',6-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,4',5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,4',5,5',6-Octachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,4',5,5'-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,4',5,6'-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,4',5,6-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,4',5-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,4',6,6'-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,5',6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,5'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,5,5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,5,6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,6'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,4,6,6'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,5',6-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,5'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,5,5',6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,5,5'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,5,6'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,5,6,6'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,5-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,2',3,6,6'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',3-Trichlorobiphenyl|.0005 mg/L|PCBs
2,2',4,4',5,5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',4,4',5-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',4,4',6,6'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,2',4,5',6-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',4,5'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,2',4,5,5'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',4,5-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,2',4,6,6'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,2',4-Trichlorobiphenyl|.0005 mg/L|PCBs
2,2',5,5'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,2',5-Trichlorobiphenyl|.0005 mg/L|PCBs
2,2',6-Trichlorobiphenyl|.0005 mg/L|PCBs
2,2'-Dichlorobiphenyl|.0005 mg/L|PCBs
2,3',4',5-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3',4,4',5',6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3',4,4',5'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3',4,4',5,5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3',4,4',5-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3',4,4',6-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3',4,4'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3',4,5',6-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3',4,5'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3',4,5,5'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3',4-Trichlorobiphenyl|.0005 mg/L|PCBs
2,3',5'-Trichlorobiphenyl|.0005 mg/L|PCBs
2,3',5,5'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3',6-Trichlorobiphenyl|.0005 mg/L|PCBs
