"substance","cas_no","pel_mg_m3","pel_ppm"
"Acetaldehyde","75-07-0","360","200"
"Acetic acid","64-19-7","25","10"
"Acetic anhydride","108-24-7","20","5"
"Acetone","67-64-1","2400","1000"
"Acetonitrile","75-05-8","70","40"
"Acetylene tetrabromide","79-27-6","14","1"
"Acrolein","107-02-8","0.25","0.1"
"Acrylamide","79-06-1","0.3",""
"Aldrin","309-00-2","0.25",""
"Allyl alcohol","107-18-6","5","2"
"Allyl chloride","107-05-1","3","1"
"Allyl glycidyl ether (AGE)","106-92-3","45","10"
"Allyl propyl disulfide","2179-59-1","12","2"
"alpha-Alumina, Total dust","","15",""
"alpha-Alumina, Total dust, Respirable fraction","","5",""
"Aluminum Metal (as Al), Total dust","","15",""
"Aluminum Metal (as Al), Total dust, Respirable fraction;","","5",""
"2-Aminopyridine","504-29-0","2","0.5"
"Ammonia","7664-41-7","35","50"
"Ammonium sulfamate, Total dust","","15",""
"Ammonium sulfamate, Total dust, Respirable fraction","","5",""
"n-Amyl acetate","628-63-7","525","100"
"sec-Amyl acetate","626-38-0","650","125"
"Aniline and homologs","62-53-3","19","5"
"Anisidine (o-,p-isomers)","29191-52-4","0.5",""
"Antimony and compounds (as Sb)","7440-36-0","0.5",""
"ANTU (alpha Naphthylthiourea)","86-88-4","0.3",""
"Arsenic, organic compounds (as As)","7440-38-2","0.5",""
"Arsine","7784-42-1","0.2","0.05"
"Azinphos-methyl","86-50-0","0.2",""
"Barium, soluble compounds (as Ba)","7440-39-3","0.5",""
"Barium sulfate, Total dust","","15",""
"Barium sulfate, Total dust, Respirable fraction","","5",""
"Benomyl, Total dust","","15",""
"Benomyl, Total dust, Respirable fraction","","5",""
"Benzoyl peroxide","94-36-0","5",""
"Benzyl chloride","100-44-7","5","1"
"Beryllium and beryllium compounds (as Be)","7440-41-7","See Annotated Z-2","See Annotated Z-2"
"Bismuth telluride, Undoped, Total dust","","15",""
"Bismuth telluride, Undoped, Total dust, Respirable fraction","","5",""
"Boron oxide, Total dust","","15",""
"Boron trifluoride","7637-07-2","3","1"
"Bromine","7726-95-6","0.7","0.1"
"Bromoform","75-25-2","5","0.5"
"Butadiene (1,3-Butadiene); See 29 CFR 1910.1051; 29 CFR 1910.19(l)","106-99-0","","1 ppm / 5 ppm STEL"
"2-Butanone (Methyl ethyl ketone)","78-93-3","590","200"
"2-Butoxyethanol","111-76-2","240","50"
"n-Butyl-acetate","123-86-4","710","150"
"sec-Butyl acetate","105-46-4","950","200"
"tert-Butyl-acetate","540-88-5","950","200"
"n-Butyl alcohol","71-36-3","300","100"
"sec-Butyl alcohol","78-92-2","450","150"
"tert-Butyl alcohol","75-65-0","300","100"
"Butylamine","109-73-9","15","5"
"n-Butyl glycidyl ether (BGE)","2426-08-6","270","50"
"Butyl mercaptan","109-79-5","35","10"
"p-tert-Butyltoluene","98-51-1","60","10"
"Calcium Carbonate, Total dust","","15",""
"Calcium Carbonate, Total dust, Respirable fraction","","5",""
"Calcium hydroxide, Total dust","","15",""
"Calcium hydroxide, Total dust, Respirable fraction","","5",""
"Calcium oxide","1305-78-8","5",""
"Calcium silicate, Total dust","","15",""
"Calcium silicate, Total dust, Respirable fraction","","5",""
"Calcium sulfate, Total dust","","15",""
"Calcium sulfate, Total dust, Respirable fraction","","5",""
"Camphor, synthetic","76-22-2","2",""
"Carbaryl (Sevin)","63-25-2","5",""
"Carbon black","1333-86-4","3.5",""
"Carbon dioxide","124-38-9","9000","5000"
"Carbon disulfide","75-15-0","See Annotated Z-2","See Annotated Z-2"
"Carbon monoxide","630-08-0","55","50"
"Carbon tetrachloride","56-23-5","See Annotated Z-2","See Annotated Z-2"
"Cellulose, Total dust","","15",""
"Cellulose, Total dust, Respirable fraction","","5",""
"Chlordane","57-74-9","0.5",""
"Chlorinated camphene","8001-35-2","0.5",""
"Chlorinated diphenyl oxide","55720-99-5","0.5",""
"Chlorine","7782-50-5","3","1"
"Chlorine dioxide","10049-04-4","0.3","0.1"
"Chlorine trifluoride","7790-91-2","0.4","0.1"
"Chloroacetaldehyde","107-20-0","3","1"
"a-Chloroacetophenone (Phenacyl chloride)","532-27-4","0.3","0.05"
"Chlorobenzene","108-90-7","350","75"
"o-Chlorobenzylidene malononitrile","2698-41-1","0.4","0.05"
"Chlorobromomethane","74-97-5","1050","200"
"Chlorodiphenyl (42% Chlorine) (PCB)","53469-21-9","1",""
"Chlorodiphenyl (54% Chlorine) (PCB)","11097-69-1","0.5",""
"Chloroform (Trichloromethane)","67-66-3","240","50"
"1-Chloro-1-nitropropane","600-25-9","100","20"
"Chloropicrin","76-06-2","0.7","0.1"
"beta-Chloroprene","126-99-8","90","25"
"2-Chloro-6-(trichloromethyl)pyridine, Total dust","","15",""
"2-Chloro-6-(trichloromethyl)pyridine, Total dust, Respirable fraction","","5",""
"Chromium (II) compounds (as Cr)","7440-47-3","0.5",""
"Chromium (III) compounds (as Cr)","7440-47-3","0.5",""
"Chromium metal and insol. salts (as Cr)","7440-47-3","1",""
"Clopidol, Total dust","","15",""
"Clopidol, Total dust, Respirable fraction","","5",""
"Coal dust (less than 5% SiO","","See Annotated Z-3","See Annotated Z-3"
"Coal dust (greater than or equal to 5% SiO","","See Annotated Z-3","See Annotated Z-3"
"Coal tar pitch volatiles (benzene soluble fraction), anthracene, BaP, phenanthrene, acridine, chrysene, pyrene)","65966-93-2","0.2",""
"Cobalt metal, dust, and fume (as Co)","7440-48-4","0.1",""
"Fume (as Cu)","","0.1",""
"Dusts and mists (as Cu)","","1",""
"Cotton dust","","1",""
"Crag herbicide (Sesone), Total dust","","15",""
"Crag herbicide (Sesone), Total dust, Respirable fraction","","5",""
"Cresol, all isomers","1319-77-3","22","5"
"Crotonaldehyde","123-73-9 /","6","2"
"Cumene","98-82-8","245","50"
"Cyanides (as CN)","Varies with compound","5",""
"Cyclohexane","110-82-7","1050","300"
"Cyclohexanol","108-93-0","200","50"
"Cyclohexanone","108-94-1","200","50"
"Cyclohexene","110-83-8","1015","300"
"Cyclopentadiene","542-92-7","200","75"
"2,4-D (Dichlorophen-oxyacetic acid)","94-75-7","10",""
"Decaborane","17702-41-9","0.3","0.05"
"Demeton (Systox)","8065-48-3","0.1",""
"Diacetone alcohol (4-Hydroxy-4-methyl-2-pentanone)","123-42-2","240","50"
"Diazomethane","334-88-3","0.4","0.2"
"Diborane","19287-45-7","0.1","0.1"
"Dibutyl phosphate","107-66-4","5","1"
"Dibutyl phthalate","84-74-2","5",""
"o-Dichlorobenzene","95-50-1","300","50"
"p-Dichlorobenzene","106-46-7","450","75"
"Dichlorodifluoromethane","75-71-8","4950","1000"
"1,3-Dichloro-5,5-dimethyl hydantoin","118-52-5","0.2",""
"Dichlorodiphenyltrichloroethane (DDT)","50-29-3","1",""
"1,1-Dichloroethane","75-34-3","400","100"
"1,2-Dichloroethylene","540-59-0","790","200"
"Dichloroethyl ether","111-44-4","90","15"
