Measure	NumValues	Units	Minimum	25%	50%	75%	Maximum	Mean	StdDev
(+/-)11-nor-9-carboxy-delta-THC	0	[]							
(1R,2S,5R)-Menthol	0	[]							
(RS)-AMPA (Aminomethyl phosphonic acid)	2	['% recovery']	103.8	105.35	106.9	108.45	110.0	106.9	4.384062043356597
.alpha.,.alpha.-Dimethylphenethylamine	2	['% recovery']	92.4	92.45000000000002	92.5	92.54999999999998	92.6	92.5	0.14142135623730148
.alpha.-Chlordene	2	['ug/l' 'ug/kg     ']	0.001	0.168	0.335	0.502	0.669	0.335	0.4723473298326138
.alpha.-Endosulfan	98	['pg/l' 'ug/l' 'ng/g' 'ug/kg     ']	-0.001	0.0	0.0	0.01	102.0	3.4372959183673464	13.114735585929658
.alpha.-Hexachlorocyclohexane	120	['ug/l' 'pg/l']	0.0	0.0	0.0018	115.0	400.0	66.20686333333333	95.49971091346185
.alpha.-Terpineol	0	[]							
.beta.-Endosulfan	58	['ug/l' 'pg/l' 'ug/kg     ' 'ng/g']	0.0	0.0	0.0	0.0	150.0	3.878275862068966	20.049967505589542
.beta.-Hexachlorocyclohexane	130	['ug/l' '% recovery' 'pg/l' 'ug/kg     ']	0.0	0.0	2.50125	77.94999999999999	340.0	52.36108076923077	77.37545570337822
.delta.-Hexachlorocyclohexane	99	['ug/l' 'pg/l' 'ug/kg     ']	0.0	0.0	0.0	1.9849999999999999	65.0	3.415571717171717	9.88954781270631
.gamma.-Chlordene	5	['ug/l' 'ug/kg     ']	0.005	0.006	0.006999999999999999	0.01	2.19	0.4436	0.9762690715166592
.lambda.-Cyhalothrin	8	['ug/l' 'ug/kg']	-0.001	-0.000525	0.0013	0.7249999999999999	26.99	3.5613125	9.472716699694896
1,1'-(2-chloroethylidene)bis(4-chlorobenzene)	2	['ng/g      ']	4.34	5.3825	6.425	7.4675	8.51	6.425	2.948635277547903
1,1'-(chloroethenylidene)bis(4-chlorobenzene)	1	['ppb       ']	48.0	48.0	48.0	48.0	48.0	48.0	
1,1,1,2-Tetrachloroethane	109	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	0.012	0.00022018348623853212	0.0013968071937069334
1,1,1-Trichloroethane	116	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	4000.0	34.816077586206895	371.366192628531
1,1,2,2-Tetrachloroethane	86	['ug/l']	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1,1,2-Trichloroethane	112	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	0.04	0.000625	0.0047040810344187705
1,1-Dichloroethane	99	['ug/l']	0.0	0.0	0.0	0.0	0.096	0.0065858585858585865	0.019621942164483333
1,1-Dichloroethylene	108	['ug/l']	0.0	0.0	0.0	0.0	46.0	0.5778888888888889	4.491780071623946
1,1-Dichloropropene	117	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	0.03	0.0003333333333333333	0.0028887415229138947
1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin	1	['pg/l']	57.5	57.5	57.5	57.5	57.5	57.5	
1,2,3,4,6,7,8,9-Octachlorodibenzofuran	0	[]							
1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin	1	['ng/kg']	1.5	1.5	1.5	1.5	1.5	1.5	
1,2,3,4,6,7,8-Heptachlorodibenzofuran	0	[]							
1,2,3,4,7,8,9-Heptachlorodibenzofuran	0	[]							
1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin	0	[]							
1,2,3,4,7,8-Hexachlorodibenzofuran	1	['ng/kg']	0.05	0.05	0.05	0.05	0.05	0.05	
1,2,3,4-Tetramethylbenzene	0	[]							
1,2,3,5-Tetramethylbenzene	0	[]							
1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin	1	['ng/kg']	2.9	2.9	2.9	2.9	2.9	2.9	
1,2,3,6,7,8-Hexachlorodibenzofuran	1	['ng/kg']	0.07	0.07	0.07	0.07	0.07	0.07	
1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin	0	[]							
1,2,3,7,8,9-Hexachlorodibenzofuran	0	[]							
1,2,3,7,8-Pentachlorodibenzofuran	3	['pg/l' 'ng/kg']	0.0	0.025	0.05	0.125	0.2	0.08333333333333333	0.10408329997330665
1,2,3-Trichlorobenzene	110	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	0.002	1.8181818181818182e-05	0.00019069251784911852
1,2,3-Trichloropropane	120	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	0.039	0.0006508333333333333	0.004392679085913371
1,2,3-Trimethylbenzene	1	['ug/l']	0.456	0.456	0.456	0.456	0.456	0.456	
1,2,4,5-Tetrachlorobenzene	0	[]							
1,2,4-Trichlorobenzene	105	['ug/l']	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1,2,4-Trimethylbenzene	109	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	1.11	0.01782752293577982	0.11042980833455855
1,2-Dibromo-3-chloropropane	117	['ug/l']	0.0	0.0	0.0	0.0	2.8	0.12661538461538463	0.46356746051780684
1,2-Dichlorobenzene-d4	90	['ug/l']	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1,2-Dichloroethane	97	['ug/l' 'ug/l      ']	0.0	0.0	0.0	0.0	0.723	0.016948453608247423	0.10264779701464011
1,2-Dichloropropane	113	['ug/l']	0.0	0.0	0.0	0.0	0.3	0.003995575221238938	0.029302475484713528
1,2-Dimethylnaphthalene	0	[]							
1,2-Diphenylhydrazine	0	[]							
